asset_code,file_name,storage_path,display_name_no,category,theme,subtheme,slug,needs_review,alt_text_no,alt_text_en,alt_text_pl,alt_text_ar
723_61,723_61.jpg,signs/direction/723_61.jpg,Innkjøring forbudt på gul bakgrunn,direction,wayfinding,wayfinding,723_61,True,Innkjøring forbudt på gul bakgrunn,,,
723_62,723_62.jpg,signs/direction/723_62.jpg,Svart rektangel på gul bakgrunn,direction,wayfinding,wayfinding,723_62,True,Svart rektangel på gul bakgrunn,,,
723_63,723_63.jpg,signs/direction/723_63.jpg,Svart trekant på gul bakgrunn,direction,wayfinding,wayfinding,723_63,True,Svart trekant på gul bakgrunn,,,
723_64,723_64.jpg,signs/direction/723_64.jpg,Oransje firkant,direction,wayfinding,wayfinding,723_64,True,Oransje firkant,,,
723_65,723_65.jpg,signs/direction/723_65.jpg,Svart sirkel,direction,wayfinding,wayfinding,723_65,True,Svart sirkel,,,
723_66,723_66.jpg,signs/direction/723_66.jpg,Retningspil høyre,direction,wayfinding,wayfinding,723_66,True,Retningspil høyre,,,
723_71,723_71.jpg,signs/direction/723_71.jpg,Motorveg til venstre 25,direction,wayfinding,wayfinding,723_71,True,Motorveg til venstre 25,,,
723_72,723_72.jpg,signs/direction/723_72.jpg,Motorveg rett fram 25,direction,wayfinding,wayfinding,723_72,True,Motorveg rett fram 25,,,
723_73,723_73.jpg,signs/direction/723_73.jpg,Motorveg høyre 25,direction,wayfinding,wayfinding,723_73,True,Motorveg høyre 25,,,
727,727.jpg,signs/direction/727.jpg,Stedsnavnsskilt,direction,wayfinding,wayfinding,727,True,Stedsnavnsskilt,,,
729_0,729_0.jpg,signs/direction/729_0.jpg,Gatenavn,direction,wayfinding,wayfinding,729_0,False,Gatenavn,,,
731,731.jpg,signs/direction/731.jpg,Stedsnavn / retningsskilt,direction,wayfinding,wayfinding,731,True,Stedsnavn / retningsskilt,,,
741,741.jpg,signs/direction/741.jpg,Forvarsling med avstand,direction,wayfinding,wayfinding,741,True,Forvarsling med avstand,,,
743_1,743_1.jpg,signs/direction/743_1.jpg,Kjørefeltoppsett,direction,wayfinding,wayfinding,743_1,True,Kjørefeltoppsett,,,
743_2,743_2.jpg,signs/direction/743_2.jpg,Kjørefeltoppsett variant,direction,wayfinding,wayfinding,743_2,True,Kjørefeltoppsett variant,,,
745,745.jpg,signs/direction/745.jpg,Feltavvikling / kjøremønster,direction,wayfinding,wayfinding,745,True,Feltavvikling / kjøremønster,,,
749,749.jpg,signs/direction/749.jpg,Turistmål / vegvisning,direction,wayfinding,wayfinding,749,True,Turistmål / vegvisning,,,
751,751.jpg,signs/direction/751.jpg,Sykkelvegvisning,direction,wayfinding,wayfinding,751,False,Sykkelvegvisning,,,
753,753.jpg,signs/direction/753.jpg,Sykkelrute,direction,wayfinding,wayfinding,753,False,Sykkelrute,,,
755,755.jpg,signs/direction/755.jpg,Sykkelrutenummer 13,direction,wayfinding,wayfinding,755,False,Sykkelrutenummer 13,,,
757,757.jpg,signs/direction/757.jpg,Sykkelvegvisning 14/13,direction,wayfinding,wayfinding,757,False,Sykkelvegvisning 14/13,,,
761_0,761_0.jpg,signs/direction/761_0.jpg,Motorveg symbol,direction,wayfinding,wayfinding,761_0,False,Motorveg symbol,,,
763_0,763_0.jpg,signs/direction/763_0.jpg,Bilsymbol,direction,wayfinding,wayfinding,763_0,False,Bilsymbol,,,
765_0,765_0.jpg,signs/direction/765_0.jpg,Betalingsinformasjon kroner,direction,wayfinding,wayfinding,765_0,False,Betalingsinformasjon kroner,,,
767_0,767_0.jpg,signs/direction/767_0.jpg,Parkering symbol,direction,wayfinding,wayfinding,767_0,False,Parkering symbol,,,
769_0,769_0.jpg,signs/direction/769_0.jpg,Parkering symbol variant,direction,wayfinding,wayfinding,769_0,False,Parkering symbol variant,,,
771_0,771_0.jpg,signs/direction/771_0.jpg,Flyplass,direction,wayfinding,wayfinding,771_0,False,Flyplass,,,
772_0,772_0.jpg,signs/direction/772_0.jpg,Helikopterplass,direction,wayfinding,wayfinding,772_0,False,Helikopterplass,,,
773_0,773_0.jpg,signs/direction/773_0.jpg,Busstasjon,direction,wayfinding,wayfinding,773_0,False,Busstasjon,,,
774_0,774_0.jpg,signs/direction/774_0.jpg,Jernbanestasjon,direction,wayfinding,wayfinding,774_0,False,Jernbanestasjon,,,
775_0,775_0.jpg,signs/direction/775_0.jpg,Ferje,direction,wayfinding,wayfinding,775_0,False,Ferje,,,
776,776.jpg,signs/direction/776.jpg,Havn / kai,direction,wayfinding,wayfinding,776,False,Havn / kai,,,
780,780 Kjetting.jpg,signs/direction/780 Kjetting.jpg,Kjetting,direction,wayfinding,wayfinding,780,False,Kjetting,,,
790_10,790_10.jpg,signs/direction/790_10.jpg,Industriområde,direction,wayfinding,wayfinding,790_10,False,Industriområde,,,
790_15,790_15.jpg,signs/direction/790_15.jpg,Fabrikkområde,direction,wayfinding,wayfinding,790_15,False,Fabrikkområde,,,
790_16,790_16 Kjøpesenter.jpg,signs/direction/790_16 Kjøpesenter.jpg,Kjøpesenter,direction,wayfinding,wayfinding,790_16,False,Kjøpesenter,,,
790_20,790_20.jpg,signs/direction/790_20.jpg,Overnatting / hytteområde,direction,wayfinding,wayfinding,790_20,True,Overnatting / hytteområde,,,
790_30,790_30.jpg,signs/direction/790_30.jpg,Skianlegg,direction,wayfinding,wayfinding,790_30,False,Skianlegg,,,
790_31,790_31.jpg,signs/direction/790_31.jpg,Akebakke,direction,wayfinding,wayfinding,790_31,False,Akebakke,,,
790_32,790_32.jpg,signs/direction/790_32.jpg,Skiløype / vinteraktivitet,direction,wayfinding,wayfinding,790_32,False,Skiløype / vinteraktivitet,,,
792_11,792_11.jpg,signs/direction/792_11.jpg,Kurveinformasjon,direction,wayfinding,wayfinding,792_11,True,Kurveinformasjon,,,
792_12,792_12.jpg,signs/direction/792_12.jpg,Betalingspunkt,direction,wayfinding,wayfinding,792_12,True,Betalingspunkt,,,
792_13,792_13.jpg,signs/direction/792_13.jpg,Betalingsinformasjon kroner,direction,wayfinding,wayfinding,792_13,False,Betalingsinformasjon kroner,,,
792_14,792_14.jpg,signs/direction/792_14.jpg,Kortbetaling,direction,wayfinding,wayfinding,792_14,False,Kortbetaling,,,
792_15,792_15.jpg,signs/direction/792_15.jpg,Kontant betaling,direction,wayfinding,wayfinding,792_15,True,Kontant betaling,,,
792_16,792_16.jpg,signs/direction/792_16.jpg,Betaling / automat,direction,wayfinding,wayfinding,792_16,True,Betaling / automat,,,
792_17,792_17.jpg,signs/direction/792_17.jpg,Kontaktløs betaling / kort,direction,wayfinding,wayfinding,792_17,True,Kontaktløs betaling / kort,,,
792_30,792_30.jpg,signs/direction/792_30.jpg,Kameraovervåking,direction,wayfinding,wayfinding,792_30,False,Kameraovervåking,,,
502_0,502_0.jpg,signs/information/502_0.jpg,Motorveg,information,information,information,502_0,False,Motorveg,,,
503_0,503_0.jpg,signs/information/503_0.jpg,Motortrafikkveg,information,information,information,503_0,False,Motortrafikkveg,,,
504_0,504_0.jpg,signs/information/504_0.jpg,Slutt på motorveg,information,information,information,504_0,False,Slutt på motorveg,,,
505_0,505_0.jpg,signs/information/505_0.jpg,Slutt på motortrafikkveg,information,information,information,505_0,False,Slutt på motortrafikkveg,,,
506,506.jpg,signs/information/506.jpg,"Vektgrense 7,5 tonn",information,information,information,506,False,"Vektgrense 7,5 tonn",,,
507,507.jpg,signs/information/507.jpg,"Slutt på vektgrense 7,5 tonn",information,information,information,507,False,"Slutt på vektgrense 7,5 tonn",,,
508_1,508_1.jpg,signs/information/508_1.jpg,Bussfelt,information,information,information,508_1,False,Bussfelt,,,
508_2,508_2.jpg,signs/information/508_2.jpg,Taxi,information,information,information,508_2,False,Taxi,,,
509_0,509_0.jpg,signs/information/509_0.jpg,Sambruksfelt 2+,information,information,information,509_0,False,Sambruksfelt 2+,,,
510_1,510_1.jpg,signs/information/510_1.jpg,Slutt på bussfelt,information,information,information,510_1,False,Slutt på bussfelt,,,
510_2,510_2.jpg,signs/information/510_2.jpg,Slutt på taxifelt,information,information,information,510_2,False,Slutt på taxifelt,,,
511_0,511_0.jpg,signs/information/511_0.jpg,Slutt på sambruksfelt 2+,information,information,information,511_0,False,Slutt på sambruksfelt 2+,,,
512_0,512_0.jpg,signs/information/512_0.jpg,Buss,information,information,information,512_0,False,Buss,,,
513_0,513_0.jpg,signs/information/513_0.jpg,Kollektivfelt,information,information,information,513_0,False,Kollektivfelt,,,
514_0,514_0.jpg,signs/information/514_0.jpg,Taxi,information,information,information,514_0,False,Taxi,,,
516_H,516_H.jpg,signs/information/516_H.jpg,Gangfelt høyre,information,information,information,516_h,False,Gangfelt høyre,,,
516_V,516_V.jpg,signs/information/516_V.jpg,Gangfelt venstre,information,information,information,516_v,False,Gangfelt venstre,,,
518_0,518_0.jpg,signs/information/518_0.jpg,Gangveg,information,information,information,518_0,False,Gangveg,,,
520_0,520_0.jpg,signs/information/520_0.jpg,Sykkelveg,information,information,information,520_0,False,Sykkelveg,,,
521.1,521.1 Midtstilt sykkelfelt.jpg,signs/information/521.1 Midtstilt sykkelfelt.jpg,Midtstilt sykkelfelt,information,information,information,521_1,False,Midtstilt sykkelfelt,,,
521_0,521_0.jpg,signs/information/521_0.jpg,Sykkelfelt,information,information,information,521_0,False,Sykkelfelt,,,
522_0,522_0.jpg,signs/information/522_0.jpg,Gang- og sykkelveg,information,information,information,522_0,False,Gang- og sykkelveg,,,
524_0,524_0.jpg,signs/information/524_0.jpg,Møteplass,information,information,information,524_0,False,Møteplass,,,
526_1,526_1.jpg,signs/information/526_1.jpg,Envegskjøring rett fram,information,information,information,526_1,False,Envegskjøring rett fram,,,
526_2,526_2.jpg,signs/information/526_2.jpg,Envegskjøring venstre,information,information,information,526_2,False,Envegskjøring venstre,,,
527_1,527_1.jpg,signs/information/527_1.jpg,Blindveg,information,information,information,527_1,False,Blindveg,,,
527_2,527_2.jpg,signs/information/527_2.jpg,Blindveg med sideveg,information,information,information,527_2,False,Blindveg med sideveg,,,
527_3,527_3.jpg,signs/information/527_3.jpg,Blindveg med sykkelunntak,information,information,information,527_3,False,Blindveg med sykkelunntak,,,
527_4,527_4.jpg,signs/information/527_4.jpg,Blindveg med sykkelpassasje,information,information,information,527_4,False,Blindveg med sykkelpassasje,,,
528_0,528_0.jpg,signs/information/528_0.jpg,Passering på begge sider,information,information,information,528_0,True,Passering på begge sider,,,
530_01,530_01.jpg,signs/information/530_01.jpg,Feltfordeling,information,information,information,530_01,False,Feltfordeling,,,
530_11,530_11.jpg,signs/information/530_11.jpg,Feltfordeling med møtende trafikk,information,information,information,530_11,False,Feltfordeling med møtende trafikk,,,
531_102,531_102.jpg,signs/information/531_102.jpg,Feltvalg,information,information,information,531_102,False,Feltvalg,,,
531_202,531_202.jpg,signs/information/531_202.jpg,Feltvalg variant,information,information,information,531_202,False,Feltvalg variant,,,
532_H02,532_H02.jpg,signs/information/532_H02.jpg,Sammenfletting av felt,information,information,information,532_h02,False,Sammenfletting av felt,,,
534_H02,534_H02.jpg,signs/information/534_H02.jpg,Kjørefeltutforming,information,information,information,534_h02,False,Kjørefeltutforming,,,
536_101,536_101.jpg,signs/information/536_101.jpg,Feltutforming,information,information,information,536_101,False,Feltutforming,,,
536_201,536_201.jpg,signs/information/536_201.jpg,Feltutforming variant,information,information,information,536_201,False,Feltutforming variant,,,
538_12,538_12.jpg,signs/information/538_12.jpg,Reversibelt felt / kjørefeltbruk,information,information,information,538_12,True,Reversibelt felt / kjørefeltbruk,,,
539,539.jpg,signs/information/539.jpg,Varsel om feltendring,information,information,information,539,True,Varsel om feltendring,,,
540_0,540_0.jpg,signs/information/540_0.jpg,Gatetun,information,information,information,540_0,False,Gatetun,,,
542_0,542_0.jpg,signs/information/542_0.jpg,Slutt på gatetun,information,information,information,542_0,False,Slutt på gatetun,,,
548_0,548_0.jpg,signs/information/548_0.jpg,Gågate,information,information,information,548_0,False,Gågate,,,
550_0,550_0.jpg,signs/information/550_0.jpg,Slutt på gågate,information,information,information,550_0,False,Slutt på gågate,,,
552_0,552_0.jpg,signs/information/552_0.jpg,Parkering,information,information,information,552_0,False,Parkering,,,
556.2,556.2.jpg,signs/information/556.2.jpg,Automatisk trafikkontroll,information,information,information,556_2,True,Automatisk trafikkontroll,,,
556_0,556_0.jpg,signs/information/556_0.jpg,Kameraovervåking,information,information,information,556_0,False,Kameraovervåking,,,
558_0,558_0.jpg,signs/information/558_0.jpg,Fotoboks / trafikkontroll,information,information,information,558_0,True,Fotoboks / trafikkontroll,,,
560_2,560_2.jpg,signs/information/560_2.jpg,Bomstasjon / toll plaza,information,information,information,560_2,False,Bomstasjon / toll plaza,,,
565,565 Feil kjøreretning.jpg,signs/information/565 Feil kjøreretning.jpg,"Feil kjøreretning, stopp og snu",information,information,information,565,False,"Feil kjøreretning, stopp og snu",,,
570_1H,570_1H.jpg,signs/information/570_1H.jpg,Nødutgang høyre,information,information,information,570_1h,False,Nødutgang høyre,,,
570_1V,570_1V.jpg,signs/information/570_1V.jpg,Nødutgang venstre,information,information,information,570_1v,False,Nødutgang venstre,,,
570_2H,570_2H.jpg,signs/information/570_2H.jpg,Nødutgang 150 m høyre,information,information,information,570_2h,False,Nødutgang 150 m høyre,,,
570_2V,570_2V.jpg,signs/information/570_2V.jpg,Nødutgang 100 m venstre,information,information,information,570_2v,False,Nødutgang 100 m venstre,,,
402_1,402_1.jpg,signs/mandatory/402_1.jpg,Påbudt kjøreretning høyre,mandatory,orders,orders,402_1,False,Påbudt kjøreretning høyre,,,
402_2,402_2.jpg,signs/mandatory/402_2.jpg,Påbudt kjøreretning venstre,mandatory,orders,orders,402_2,False,Påbudt kjøreretning venstre,,,
402_3,402_3.jpg,signs/mandatory/402_3.jpg,Påbudt kjøreretning rett fram,mandatory,orders,orders,402_3,False,Påbudt kjøreretning rett fram,,,
402_4,402_4.jpg,signs/mandatory/402_4.jpg,Påbudt kjøreretning til høyre,mandatory,orders,orders,402_4,False,Påbudt kjøreretning til høyre,,,
402_5,402_5.jpg,signs/mandatory/402_5.jpg,Påbudt kjøreretning til venstre,mandatory,orders,orders,402_5,False,Påbudt kjøreretning til venstre,,,
402_6,402_6.jpg,signs/mandatory/402_6.jpg,Påbudt kjøreretning rett fram eller høyre,mandatory,orders,orders,402_6,False,Påbudt kjøreretning rett fram eller høyre,,,
402_7,402_7.jpg,signs/mandatory/402_7.jpg,Påbudt kjøreretning rett fram eller venstre,mandatory,orders,orders,402_7,False,Påbudt kjøreretning rett fram eller venstre,,,
402_8,402_8.jpg,signs/mandatory/402_8.jpg,Påbudt kjøreretning venstre eller høyre,mandatory,orders,orders,402_8,False,Påbudt kjøreretning venstre eller høyre,,,
404_1,404_1.jpg,signs/mandatory/404_1.jpg,Påbudt passering høyre,mandatory,orders,orders,404_1,False,Påbudt passering høyre,,,
404_2,404_2.jpg,signs/mandatory/404_2.jpg,Påbudt passering venstre,mandatory,orders,orders,404_2,False,Påbudt passering venstre,,,
406_0,406_0.jpg,signs/mandatory/406_0.jpg,Påbudt rundkjøring,mandatory,orders,orders,406_0,False,Påbudt rundkjøring,,,
408,408.jpg,signs/mandatory/408.jpg,Kjørefeltpåbud,mandatory,orders,orders,408,True,Kjørefeltpåbud,,,
902_OH,902_OH.jpg,signs/markers/902_OH.jpg,Markeringsskilt høyre,markers,road_markers,road_markers,902_oh,False,Markeringsskilt høyre,,,
902_OV,902_OV.jpg,signs/markers/902_OV.jpg,Markeringsskilt venstre,markers,road_markers,road_markers,902_ov,False,Markeringsskilt venstre,,,
904_OH,904_OH.jpg,signs/markers/904_OH.jpg,Retningsmarkering høyre,markers,road_markers,road_markers,904_oh,False,Retningsmarkering høyre,,,
904_OV,904_OV.jpg,signs/markers/904_OV.jpg,Retningsmarkering venstre,markers,road_markers,road_markers,904_ov,False,Retningsmarkering venstre,,,
906_OH,906_OH.jpg,signs/markers/906_OH.jpg,Hindermarkering høyre,markers,road_markers,road_markers,906_oh,False,Hindermarkering høyre,,,
906_OV,906_OV.jpg,signs/markers/906_OV.jpg,Hindermarkering venstre,markers,road_markers,road_markers,906_ov,False,Hindermarkering venstre,,,
906_OVH,906_OVH.jpg,signs/markers/906_OVH.jpg,Hindermarkering begge sider,markers,road_markers,road_markers,906_ovh,False,Hindermarkering begge sider,,,
908_0,908_0.jpg,signs/markers/908_0.jpg,Markeringsfelt / sperremarkering,markers,road_markers,road_markers,908_0,True,Markeringsfelt / sperremarkering,,,
912_0,912_0.jpg,signs/markers/912_0.jpg,Chevronmarkering,markers,road_markers,road_markers,912_0,False,Chevronmarkering,,,
914_H,914_H.jpg,signs/markers/914_H.jpg,Kantmarkering høyre,markers,road_markers,road_markers,914_h,False,Kantmarkering høyre,,,
914_V,914_V.jpg,signs/markers/914_V.jpg,Kantmarkering venstre,markers,road_markers,road_markers,914_v,False,Kantmarkering venstre,,,
916_0,916_0.jpg,signs/markers/916_0.jpg,Avstandsskilt til møtested,markers,road_markers,road_markers,916_0,True,Avstandsskilt til møtested,,,
920_H,920_H.jpg,signs/markers/920_H.jpg,Markeringsstolpe høyre,markers,road_markers,road_markers,920_h,False,Markeringsstolpe høyre,,,
920_VE,920_VE.jpg,signs/markers/920_VE.jpg,Markeringsstolpe venstre,markers,road_markers,road_markers,920_ve,False,Markeringsstolpe venstre,,,
920_VM,920_VM.jpg,signs/markers/920_VM.jpg,Markeringsstolpe midt,markers,road_markers,road_markers,920_vm,False,Markeringsstolpe midt,,,
930,930.jpg,signs/markers/930.jpg,Varselmarkering,markers,road_markers,road_markers,930,False,Varselmarkering,,,
940,940.jpg,signs/markers/940.jpg,Arbeidsvarsling,markers,road_markers,road_markers,940,True,Arbeidsvarsling,,,
942,942.jpg,signs/markers/942.jpg,Arbeidsvarsling variant,markers,road_markers,road_markers,942,True,Arbeidsvarsling variant,,,
202_0,202_0.jpg,signs/priority/202_0.jpg,Vikeplikt,priority,priority_rules,priority_rules,202_0,False,Vikeplikt,,,
204_0,204_0.jpg,signs/priority/204_0.jpg,Stopp,priority,priority_rules,priority_rules,204_0,False,Stopp,,,
206_0,206_0.jpg,signs/priority/206_0.jpg,Forkjørsveg,priority,priority_rules,priority_rules,206_0,False,Forkjørsveg,,,
208_0,208_0.jpg,signs/priority/208_0.jpg,Slutt på forkjørsveg,priority,priority_rules,priority_rules,208_0,False,Slutt på forkjørsveg,,,
210_0,210_0.jpg,signs/priority/210_0.jpg,Kryss med forkjørsveg,priority,priority_rules,priority_rules,210_0,True,Kryss med forkjørsveg,,,
212_0,212_0.jpg,signs/priority/212_0.jpg,Vikeplikt for møtende trafikk,priority,priority_rules,priority_rules,212_0,False,Vikeplikt for møtende trafikk,,,
214_0,214_0.jpg,signs/priority/214_0.jpg,Forkjørsrett i forhold til møtende trafikk,priority,priority_rules,priority_rules,214_0,False,Forkjørsrett i forhold til møtende trafikk,,,
302_0,302_0.jpg,signs/prohibition/302_0.jpg,Innkjøring forbudt,prohibition,restrictions,restrictions,302_0,False,Innkjøring forbudt,,,
306_0,306_0.jpg,signs/prohibition/306_0.jpg,Forbudt for alle kjøretøy,prohibition,restrictions,restrictions,306_0,False,Forbudt for alle kjøretøy,,,
306_1,306_1.jpg,signs/prohibition/306_1.jpg,Forbudt for motorsykkel og moped,prohibition,restrictions,restrictions,306_1,False,Forbudt for motorsykkel og moped,,,
306_10,306_10 Forbudt for liten elektrisk motorvogn.png,signs/prohibition/306_10 Forbudt for liten elektrisk motorvogn.png,Forbudt for liten elektrisk motorvogn,prohibition,restrictions,restrictions,306_10,False,Forbudt for liten elektrisk motorvogn,,,
306_3,306_3.jpg,signs/prohibition/306_3.jpg,Forbudt for traktor,prohibition,restrictions,restrictions,306_3,False,Forbudt for traktor,,,
306_4,306_4.jpg,signs/prohibition/306_4.jpg,Forbudt for motorsykkel,prohibition,restrictions,restrictions,306_4,False,Forbudt for motorsykkel,,,
306_5,306_5.jpg,signs/prohibition/306_5.jpg,Forbudt for lastebil,prohibition,restrictions,restrictions,306_5,False,Forbudt for lastebil,,,
306_6,306_6.jpg,signs/prohibition/306_6.jpg,Forbudt for sykkel,prohibition,restrictions,restrictions,306_6,False,Forbudt for sykkel,,,
306_7,306_7.jpg,signs/prohibition/306_7.jpg,Forbudt for gående,prohibition,restrictions,restrictions,306_7,False,Forbudt for gående,,,
306_8,306_8.jpg,signs/prohibition/306_8.jpg,Forbudt for syklende,prohibition,restrictions,restrictions,306_8,False,Forbudt for syklende,,,
306_9,306_9.jpg,signs/prohibition/306_9.jpg,Forbudt for ridende,prohibition,restrictions,restrictions,306_9,False,Forbudt for ridende,,,
308_0,308_0.jpg,signs/prohibition/308_0.jpg,Forbudt for kjøretøy med farlig gods,prohibition,restrictions,restrictions,308_0,True,Forbudt for kjøretøy med farlig gods,,,
310_0,310_0.jpg,signs/prohibition/310_0.jpg,"Totalvekt 3,5 tonn",prohibition,restrictions,restrictions,310_0,False,"Totalvekt 3,5 tonn",,,
312_0,312_0.jpg,signs/prohibition/312_0.jpg,"Bredde 2,3 meter",prohibition,restrictions,restrictions,312_0,False,"Bredde 2,3 meter",,,
314_0,314_0.jpg,signs/prohibition/314_0.jpg,"Høyde 3,5 meter",prohibition,restrictions,restrictions,314_0,False,"Høyde 3,5 meter",,,
316_0,316_0.jpg,signs/prohibition/316_0.jpg,Lengdebegrensning,prohibition,restrictions,restrictions,316_0,False,Lengdebegrensning,,,
318_1,318_1.jpg,signs/prohibition/318_1.jpg,Aksellast 12 tonn,prohibition,restrictions,restrictions,318_1,False,Aksellast 12 tonn,,,
318_2,318_2.jpg,signs/prohibition/318_2.jpg,Boggilast 30 tonn,prohibition,restrictions,restrictions,318_2,False,Boggilast 30 tonn,,,
320_0,320_0.jpg,signs/prohibition/320_0.jpg,Totalvekt 3 tonn,prohibition,restrictions,restrictions,320_0,False,Totalvekt 3 tonn,,,
322_0,322_0.jpg,signs/prohibition/322_0.jpg,Aksellast 10 tonn,prohibition,restrictions,restrictions,322_0,False,Aksellast 10 tonn,,,
324_1,324_1.jpg,signs/prohibition/324_1.jpg,Stopp for kontroll,prohibition,restrictions,restrictions,324_1,False,Stopp for kontroll,,,
324_2,324_2.jpg,signs/prohibition/324_2.jpg,Stopp for avgift,prohibition,restrictions,restrictions,324_2,False,Stopp for avgift,,,
326_0,326_0.jpg,signs/prohibition/326_0.jpg,Toll,prohibition,restrictions,restrictions,326_0,False,Toll,,,
330_1,330_1.jpg,signs/prohibition/330_1.jpg,Sving til høyre forbudt,prohibition,restrictions,restrictions,330_1,False,Sving til høyre forbudt,,,
330_2,330_2.jpg,signs/prohibition/330_2.jpg,Sving til venstre forbudt,prohibition,restrictions,restrictions,330_2,False,Sving til venstre forbudt,,,
332_0,332_0.jpg,signs/prohibition/332_0.jpg,U-sving forbudt,prohibition,restrictions,restrictions,332_0,False,U-sving forbudt,,,
334_0,334_0.jpg,signs/prohibition/334_0.jpg,Forbikjøring forbudt,prohibition,restrictions,restrictions,334_0,False,Forbikjøring forbudt,,,
335_0,335_0.jpg,signs/prohibition/335_0.jpg,Forbikjøring forbudt for lastebil,prohibition,restrictions,restrictions,335_0,False,Forbikjøring forbudt for lastebil,,,
336_0,336_0.jpg,signs/prohibition/336_0.jpg,Slutt på forbikjøringsforbud,prohibition,restrictions,restrictions,336_0,False,Slutt på forbikjøringsforbud,,,
337_0,337_0.jpg,signs/prohibition/337_0.jpg,Slutt på forbikjøringsforbud for lastebil,prohibition,restrictions,restrictions,337_0,False,Slutt på forbikjøringsforbud for lastebil,,,
362_100,362_100.jpg,signs/prohibition/362_100.jpg,Fartsgrense 100,prohibition,restrictions,restrictions,362_100,False,Fartsgrense 100,,,
362_110,362_110.jpg,signs/prohibition/362_110.jpg,Fartsgrense 110,prohibition,restrictions,restrictions,362_110,False,Fartsgrense 110,,,
362_30,362_30.jpg,signs/prohibition/362_30.jpg,Fartsgrense 30,prohibition,restrictions,restrictions,362_30,False,Fartsgrense 30,,,
362_40,362_40.jpg,signs/prohibition/362_40.jpg,Fartsgrense 40,prohibition,restrictions,restrictions,362_40,False,Fartsgrense 40,,,
362_50,362_50.jpg,signs/prohibition/362_50.jpg,Fartsgrense 50,prohibition,restrictions,restrictions,362_50,False,Fartsgrense 50,,,
362_60,362_60.jpg,signs/prohibition/362_60.jpg,Fartsgrense 60,prohibition,restrictions,restrictions,362_60,False,Fartsgrense 60,,,
362_70,362_70.jpg,signs/prohibition/362_70.jpg,Fartsgrense 70,prohibition,restrictions,restrictions,362_70,False,Fartsgrense 70,,,
362_80,362_80.jpg,signs/prohibition/362_80.jpg,Fartsgrense 80,prohibition,restrictions,restrictions,362_80,False,Fartsgrense 80,,,
362_90,362_90.jpg,signs/prohibition/362_90.jpg,Fartsgrense 90,prohibition,restrictions,restrictions,362_90,False,Fartsgrense 90,,,
364_30,364_30.jpg,signs/prohibition/364_30.jpg,Slutt på fartsgrense 30,prohibition,restrictions,restrictions,364_30,False,Slutt på fartsgrense 30,,,
